batch_size,value_N_625
25,2.31
50,2.33
75,2.37
100,2.4
125,2.38
150,2.4
175,2.32
200,2.41
225,2.31
250,2.36
275,2.31
300,2.5
325,2.39
350,2.24
375,2.33
400,2.34
425,2.47
450,2.34
475,2.33
500,2.38
525,2.38
550,2.42
575,2.31
600,2.47
625,2.44
