batch_size,value_N_625
25,2.45
50,2.44
75,2.32
100,2.4
125,2.4
150,2.46
175,2.31
200,2.38
225,2.41
250,2.31
275,2.25
300,2.27
325,2.31
350,2.45
375,2.28
400,2.32
425,2.46
450,2.4
475,2.28
500,2.42
525,2.37
550,2.38
575,2.38
600,2.37
625,2.38
