batch,value
25,2.75
50,3.08
75,3.54
100,3.9
125,5.52
150,5.23
175,5.06
200,6.18
225,6.1
250,5.75
275,7.33
300,9.19
325,9.31
350,8.55
375,8.0
400,7.15
425,6.64
450,6.41
475,6.44
500,6.36
525,7.08
550,7.58
575,8.47
600,9.25
625,10.42
