batch_size,value_N_625
25,5.92
50,6.36
75,6.45
100,6.79
125,6.99
150,7.2
175,7.14
200,7.12
225,6.96
250,7.61
275,7.73
300,7.75
325,7.94
350,8.42
375,8.29
400,8.71
425,8.94
450,8.5
475,8.75
500,8.69
525,9.32
550,9.2
575,9.77
600,9.79
625,10.02
